Z_PK,Z_ENT,Z_OPT,ZBRIGHTNESS,ZWALK,ZLATITUDE,ZLONGITUDE,ZTIMESTAMP
1,1,1,16,,57.1649452066581,-2.09952349774735,476900430.199187
2,1,1,17,,57.1649452066581,-2.09952349774735,476900430.199187
3,1,1,16,,57.1649452066581,-2.09952349774735,476900430.199187
4,1,1,15,,57.1649452066581,-2.09952349774735,476900430.199187
5,1,1,16,,57.1649452066581,-2.09952349774735,476900430.199187
6,1,1,12,,57.1649452066581,-2.09952349774735,476900430.199187
7,1,1,12,,57.1648578253176,-2.09948502481179,476900437.999975
8,1,1,16,,57.1648578253176,-2.09948502481179,476900437.999975
9,1,1,16,,57.1648578253176,-2.09948502481179,476900437.999975
10,1,1,17,,57.1648578253176,-2.09948502481179,476900437.999975
11,1,1,18,,57.1648578253176,-2.09948502481179,476900437.999975
12,1,1,18,,57.1648578253176,-2.09948502481179,476900437.999975
13,1,1,17,,57.1648578253176,-2.09948502481179,476900437.999975
14,1,1,16,,57.1648578253176,-2.09948502481179,476900437.999975
15,1,1,19,,57.1648578253176,-2.09948502481179,476900437.999975
16,1,1,17,,57.1648578253176,-2.09948502481179,476900437.999975
17,1,1,591,,57.1648578253176,-2.09948502481179,476900437.999975
18,1,1,510,,57.1648578253176,-2.09948502481179,476900437.999975
19,1,1,374,,57.1647597151409,-2.09953598678308,476900444.000015
20,1,1,17,,57.1647597151409,-2.09953598678308,476900444.000015
21,1,1,17,,57.1647597151409,-2.09953598678308,476900444.000015
22,1,1,15,,57.1647597151409,-2.09953598678308,476900444.000015
23,1,1,17,,57.1647597151409,-2.09953598678308,476900444.000015
24,1,1,21,,57.1647597151409,-2.09953598678308,476900444.000015
25,1,1,23,,57.1647597151409,-2.09953598678308,476900444.000015
26,1,1,27,,57.1647597151409,-2.09953598678308,476900444.000015
27,1,1,25,,57.1647597151409,-2.09953598678308,476900444.000015
28,1,1,25,,57.1647597151409,-2.09953598678308,476900444.000015
29,1,1,31,,57.1647597151409,-2.09953598678308,476900444.000015
30,1,1,25,,57.1647597151409,-2.09953598678308,476900444.000015
31,1,1,22,,57.1647597151409,-2.09953598678308,476900444.000015
32,1,1,24,,57.1647597151409,-2.09953598678308,476900444.000015
33,1,1,22,,57.1647597151409,-2.09953598678308,476900444.000015
34,1,1,21,,57.1647597151409,-2.09953598678308,476900444.000015
35,1,1,21,,57.1647597151409,-2.09953598678308,476900444.000015
36,1,1,18,,57.1647597151409,-2.09953598678308,476900444.000015
37,1,1,21,,57.1647597151409,-2.09953598678308,476900444.000015
38,1,1,19,,57.1647597151409,-2.09953598678308,476900444.000015
39,1,1,3,,57.1647597151409,-2.09953598678308,476900444.000015
40,1,1,3,,57.1647597151409,-2.09953598678308,476900444.000015
41,1,1,14,,57.1647317195844,-2.09971502423482,476900455.000016
42,1,1,8,,57.1647317195844,-2.09971502423482,476900455.000016
43,1,1,13,,57.1647317195844,-2.09971502423482,476900455.000016
44,1,1,6,,57.1647317195844,-2.09971502423482,476900455.000016
45,1,1,6,,57.1647317195844,-2.09971502423482,476900455.000016
46,1,1,4,,57.1647317195844,-2.09971502423482,476900455.000016
47,1,1,5,,57.1647317195844,-2.09971502423482,476900455.000016
48,1,1,11,,57.1647317195844,-2.09971502423482,476900455.000016
49,1,1,6,,57.1647317195844,-2.09971502423482,476900455.000016
50,1,1,8,,57.1647317195844,-2.09971502423482,476900455.000016
51,1,1,9,,57.1647317195844,-2.09971502423482,476900455.000016
52,1,1,8,,57.1647317195844,-2.09971502423482,476900455.000016
53,1,1,22,,57.1647317195844,-2.09971502423482,476900455.000016
54,1,1,427,,57.1647317195844,-2.09971502423482,476900455.000016
55,1,1,700,,57.1647236310478,-2.09988065064149,476900462.000016
56,1,1,69,,57.1647236310478,-2.09988065064149,476900462.000016
57,1,1,15,,57.1647236310478,-2.09988065064149,476900462.000016
58,1,1,21,,57.1647236310478,-2.09988065064149,476900462.000016
59,1,1,22,,57.1647236310478,-2.09988065064149,476900462.000016
60,1,1,14,,57.1647236310478,-2.09988065064149,476900462.000016
61,1,1,15,,57.1647236310478,-2.09988065064149,476900462.000016
62,1,1,13,,57.1647236310478,-2.09988065064149,476900462.000016
63,1,1,14,,57.1647236310478,-2.09988065064149,476900462.000016
64,1,1,14,,57.1647236310478,-2.09988065064149,476900462.000016
65,1,1,17,,57.1647236310478,-2.09988065064149,476900462.000016
66,1,1,13,,57.1647236310478,-2.09988065064149,476900462.000016
67,1,1,14,,57.1647111839216,-2.10005633533197,476900468.000015
68,1,1,13,,57.1647111839216,-2.10005633533197,476900468.000015
69,1,1,15,,57.1647111839216,-2.10005633533197,476900468.000015
70,1,1,13,,57.1647111839216,-2.10005633533197,476900468.000015
71,1,1,12,,57.1647111839216,-2.10005633533197,476900468.000015
72,1,1,15,,57.1647111839216,-2.10005633533197,476900468.000015
73,1,1,14,,57.1647111839216,-2.10005633533197,476900468.000015
74,1,1,16,,57.1647111839216,-2.10005633533197,476900468.000015
75,1,1,12,,57.1647111839216,-2.10005633533197,476900468.000015
76,1,1,22,,57.1647111839216,-2.10005633533197,476900468.000015
77,1,1,471,,57.1647111839216,-2.10005633533197,476900468.000015
78,1,1,18,,57.1647111839216,-2.10005633533197,476900468.000015
79,1,1,657,,57.1647077892508,-2.10024543106752,476900474.000016
80,1,1,22,,57.1647077892508,-2.10024543106752,476900474.000016
81,1,1,18,,57.1647077892508,-2.10024543106752,476900474.000016
82,1,1,4,,57.1647077892508,-2.10024543106752,476900474.000016
83,1,1,890,,57.1647077892508,-2.10024543106752,476900474.000016
84,1,1,416,,57.1647077892508,-2.10024543106752,476900474.000016
85,1,1,682,,57.1647077892508,-2.10024543106752,476900474.000016
86,1,1,91,,57.1647077892508,-2.10024543106752,476900474.000016
87,1,1,750,,57.1647077892508,-2.10024543106752,476900474.000016
88,1,1,641,,57.1647077892508,-2.10024543106752,476900474.000016
89,1,1,308,,57.1647077892508,-2.10024543106752,476900474.000016
90,1,1,368,,57.1647077892508,-2.10024543106752,476900474.000016
91,1,1,545,,57.1647077892508,-2.10024543106752,476900474.000016
92,1,1,729,,57.1647077892508,-2.10024543106752,476900474.000016
93,1,1,707,,57.1647077892508,-2.10024543106752,476900474.000016
94,1,1,484,,57.1647077892508,-2.10024543106752,476900474.000016
95,1,1,649,,57.1647077892508,-2.10024543106752,476900474.000016
96,1,1,713,,57.1647204040151,-2.1004206128438,476900482.000015
97,1,1,704,,57.1647204040151,-2.1004206128438,476900482.000015
98,1,1,696,,57.1647204040151,-2.1004206128438,476900482.000015
99,1,1,644,,57.1647204040151,-2.1004206128438,476900482.000015
100,1,1,634,,57.1647204040151,-2.1004206128438,476900482.000015
101,1,1,598,,57.1647204040151,-2.1004206128438,476900482.000015
102,1,1,601,,57.1647204040151,-2.1004206128438,476900482.000015
103,1,1,585,,57.1647204040151,-2.1004206128438,476900482.000015
104,1,1,609,,57.1647204040151,-2.1004206128438,476900482.000015
105,1,1,599,,57.1647396823924,-2.10058674216466,476900487.000016
106,1,1,601,,57.1647396823924,-2.10058674216466,476900487.000016
107,1,1,600,,57.1647396823924,-2.10058674216466,476900487.000016
108,1,1,608,,57.1647396823924,-2.10058674216466,476900487.000016
109,1,1,609,,57.1647396823924,-2.10058674216466,476900487.000016
110,1,1,578,,57.1647396823924,-2.10058674216466,476900487.000016
111,1,1,397,,57.1647396823924,-2.10058674216466,476900487.000016
112,1,1,481,,57.1647396823924,-2.10058674216466,476900487.000016
113,1,1,322,,57.1647396823924,-2.10058674216466,476900487.000016
114,1,1,392,,57.1647396823924,-2.10058674216466,476900487.000016
115,1,1,820,,57.1647396823924,-2.10058674216466,476900487.000016
116,1,1,776,,57.1647396823924,-2.10058674216466,476900487.000016
117,1,1,174,,57.1647396823924,-2.10058674216466,476900487.000016
118,1,1,941,,57.1647396823924,-2.10058674216466,476900487.000016
119,1,1,980,,57.1647396823924,-2.10058674216466,476900487.000016
120,1,1,1009,,57.1647396823924,-2.10058674216466,476900487.000016
121,1,1,552,,57.1647396823924,-2.10058674216466,476900487.000016
122,1,1,734,,57.1647396823924,-2.10058674216466,476900487.000016
123,1,1,612,,57.1647476032909,-2.10076821036832,476900496.000016
124,1,1,459,,57.1647476032909,-2.10076821036832,476900496.000016
125,1,1,457,,57.1647476032909,-2.10076821036832,476900496.000016
126,1,1,362,,57.1647476032909,-2.10076821036832,476900496.000016
127,1,1,376,,57.1647476032909,-2.10076821036832,476900496.000016
128,1,1,364,,57.1647476032909,-2.10076821036832,476900496.000016
129,1,1,303,,57.1647476032909,-2.10076821036832,476900496.000016
130,1,1,305,,57.1647476032909,-2.10076821036832,476900496.000016
131,1,1,256,,57.1647476032909,-2.10076821036832,476900496.000016
132,1,1,277,,57.1647476032909,-2.10076821036832,476900496.000016
133,1,1,186,,57.1647476032909,-2.10076821036832,476900496.000016
134,1,1,203,,57.1647476032909,-2.10076821036832,476900496.000016
135,1,1,134,,57.1647476032909,-2.10076821036832,476900496.000016
136,1,1,114,,57.1647476032909,-2.10076821036832,476900496.000016
137,1,1,85,,57.164799529181,-2.10092235356765,476900503.000016
138,1,1,70,,57.164799529181,-2.10092235356765,476900503.000016
139,1,1,50,,57.164799529181,-2.10092235356765,476900503.000016
140,1,1,40,,57.164799529181,-2.10092235356765,476900503.000016
141,1,1,48,,57.164799529181,-2.10092235356765,476900503.000016
142,1,1,37,,57.164799529181,-2.10092235356765,476900503.000016
143,1,1,41,,57.164799529181,-2.10092235356765,476900503.000016
144,1,1,24,,57.164799529181,-2.10092235356765,476900503.000016
145,1,1,37,,57.164799529181,-2.10092235356765,476900503.000016
146,1,1,11,,57.164799529181,-2.10092235356765,476900503.000016
147,1,1,41,,57.164799529181,-2.10092235356765,476900503.000016
148,1,1,5,,57.164799529181,-2.10092235356765,476900503.000016
149,1,1,6,,57.1648935741346,-2.10098287090855,476900509.000015
150,1,1,32,,57.1648935741346,-2.10098287090855,476900509.000015
151,1,1,277,,57.1648935741346,-2.10098287090855,476900509.000015
152,1,1,119,,57.1648935741346,-2.10098287090855,476900509.000015
153,1,1,38,,57.1648935741346,-2.10098287090855,476900509.000015
154,1,1,45,,57.1648935741346,-2.10098287090855,476900509.000015
155,1,1,60,,57.1648935741346,-2.10098287090855,476900509.000015
156,1,1,38,,57.1648935741346,-2.10098287090855,476900509.000015
157,1,1,31,,57.1648935741346,-2.10098287090855,476900509.000015
158,1,1,50,,57.1648935741346,-2.10098287090855,476900509.000015
159,1,1,109,,57.1648935741346,-2.10098287090855,476900509.000015
160,1,1,152,,57.1648935741346,-2.10098287090855,476900509.000015
161,1,1,146,,57.1648935741346,-2.10098287090855,476900509.000015
162,1,1,139,,57.1648935741346,-2.10098287090855,476900509.000015
163,1,1,145,,57.1649875771787,-2.10099125281172,476900516.000015
164,1,1,215,,57.1649875771787,-2.10099125281172,476900516.000015
165,1,1,419,,57.1649875771787,-2.10099125281172,476900516.000015
166,1,1,414,,57.1649875771787,-2.10099125281172,476900516.000015
167,1,1,297,,57.1649875771787,-2.10099125281172,476900516.000015
168,1,1,129,,57.1649875771787,-2.10099125281172,476900516.000015
169,1,1,107,,57.1649875771787,-2.10099125281172,476900516.000015
170,1,1,145,,57.1649875771787,-2.10099125281172,476900516.000015
171,1,1,183,,57.1649875771787,-2.10099125281172,476900516.000015
172,1,1,156,,57.1649875771787,-2.10099125281172,476900516.000015
173,1,1,192,,57.1649875771787,-2.10099125281172,476900516.000015
174,1,1,137,,57.1649875771787,-2.10099125281172,476900516.000015
175,1,1,187,,57.1649875771787,-2.10099125281172,476900516.000015
176,1,1,149,,57.1649875771787,-2.10099125281172,476900516.000015
177,1,1,193,,57.1649875771787,-2.10099125281172,476900516.000015
178,1,1,122,,57.1649875771787,-2.10099125281172,476900516.000015
179,1,1,198,,57.1649875771787,-2.10099125281172,476900516.000015
180,1,1,128,,57.1649875771787,-2.10099125281172,476900516.000015
